,Image 1,Image 2,Similarity
1210,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (5 of 37).jpg,0.7881396412849426
1696,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (4 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (5 of 37).jpg,0.7880842089653015
1135,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (11 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (3 of 37).jpg,0.7879840731620789
1118,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (11 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,0.7878897786140442
1527,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (25 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (31 of 37).jpg,0.7878720760345459
1594,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (29 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (32 of 37).jpg,0.7878690958023071
1304,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (16 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.7877538204193115
1149,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (11 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.7870742082595825
1228,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (27 of 37).jpg,0.7864293456077576
1488,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (23 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (31 of 37).jpg,0.7861207723617554
1214,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.7860441207885742
1665,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (33 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.7860291004180908
1393,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (27 of 37).jpg,0.7859589457511902
1196,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (26 of 37).jpg,0.7859132289886475
14,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (1 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (4 of 21).jpg,0.7852116227149963
1182,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (12 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.7851154804229736
1644,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (31 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.7842033505439758
1524,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (25 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (29 of 37).jpg,0.7827021479606628
1645,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (32 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (33 of 37).jpg,0.7823911905288696
1189,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,0.7822679877281189
544,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (19 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (9 of 21).jpg,0.7820047736167908
387,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (16 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (19 of 21).jpg,0.7816485166549683
